,date,start_id,amount
731,2016-01-16,Cluster 9,374
732,2016-01-17,Cluster 1,1601
733,2016-01-17,Cluster 10,31
734,2016-01-17,Cluster 11,77
735,2016-01-17,Cluster 12,112
736,2016-01-17,Cluster 13,23
737,2016-01-17,Cluster 14,269
738,2016-01-17,Cluster 15,459
739,2016-01-17,Cluster 16,9
740,2016-01-17,Cluster 17,73
741,2016-01-17,Cluster 18,381
742,2016-01-17,Cluster 19,175
743,2016-01-17,Cluster 2,1158
744,2016-01-17,Cluster 20,23
745,2016-01-17,Cluster 21,172
746,2016-01-17,Cluster 22,57
747,2016-01-17,Cluster 23,90
748,2016-01-17,Cluster 24,14
749,2016-01-17,Cluster 25,1409
750,2016-01-17,Cluster 26,269
751,2016-01-17,Cluster 27,54
752,2016-01-17,Cluster 28,10
753,2016-01-17,Cluster 29,4
754,2016-01-17,Cluster 3,2941
755,2016-01-17,Cluster 30,28
756,2016-01-17,Cluster 31,19
757,2016-01-17,Cluster 32,31
758,2016-01-17,Cluster 33,26
759,2016-01-17,Cluster 34,20
760,2016-01-17,Cluster 35,12
761,2016-01-17,Cluster 36,6
762,2016-01-17,Cluster 37,14
763,2016-01-17,Cluster 38,21
764,2016-01-17,Cluster 39,20
765,2016-01-17,Cluster 4,1179
766,2016-01-17,Cluster 40,4
