amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
2250016.0,,2017-12-09,False,True,True,True,True,True,Taipei
1990108.0,,2017-12-10,False,True,True,True,False,True,Taipei
2154264.0,,2017-12-11,False,False,False,False,False,False,Taipei
2206207.0,,2017-12-12,False,False,False,False,False,False,Taipei
2234195.0,,2017-12-13,False,False,False,False,False,False,Taipei
2262797.0,,2017-12-14,False,False,False,False,False,False,Taipei
2504886.0,,2017-12-15,False,True,True,False,False,True,Taipei
2281846.0,,2017-12-16,False,True,True,True,True,True,Taipei
1979509.0,Culture Event,2017-12-17,False,True,True,True,True,True,Taipei
2205205.0,,2017-12-18,False,False,False,False,False,False,Taipei
2232123.0,,2017-12-19,False,False,False,False,False,False,Taipei
2283916.0,,2017-12-20,False,False,False,False,False,False,Taipei
2280225.0,,2017-12-21,False,False,False,False,False,False,Taipei
2496342.0,,2017-12-22,False,True,True,False,False,True,Taipei
2443486.0,,2017-12-23,False,True,True,True,True,True,Taipei
2033090.0,,2017-12-24,False,True,True,True,True,True,Taipei
2289712.0,,2017-12-25,False,True,True,True,True,False,Taipei
2238948.0,,2017-12-26,False,False,False,False,False,False,Taipei
2269483.0,,2017-12-27,False,False,False,False,False,False,Taipei
2290867.0,,2017-12-28,False,False,False,False,False,False,Taipei
2495729.0,,2017-12-29,False,False,True,False,False,True,Taipei
2136793.0,,2017-12-30,False,True,True,True,True,True,Taipei
2411552.0,,2017-12-31,True,True,True,True,True,True,Taipei
1892689.0,National Holiday,2018-01-01,True,True,True,True,True,True,Taipei
2143920.0,,2018-01-02,False,False,False,False,False,False,Taipei
2170179.0,,2018-01-03,False,False,False,False,False,False,Taipei
2179256.0,,2018-01-04,False,False,False,False,False,False,Taipei
2388112.0,,2018-01-05,False,False,False,False,False,False,Taipei
1887214.0,,2018-01-06,True,False,False,True,False,False,Taipei
1493275.0,,2018-01-07,True,False,False,True,True,True,Taipei
2132115.0,,2018-01-08,False,False,False,False,False,False,Taipei
2156262.0,,2018-01-09,False,False,False,True,False,False,Taipei
